id,visitor_id,prospect_id,type,created_at,url,duration_seconds,campaign,source,company_domain,channel
880025,535407,003leygdPNcc2Vk7xE,Page View,Jul 07 2026,/product,799,Newsletter,bing,meridian.com,paid_search
880026,535613,0039dOnvbLvkGO5FvE,Page View,2026-07-13 00:00:00,/demo,419,,linkedin,johor.com,
880027,592361,,Form Submission,2026-07-14 00:00:00,/,110,Webinar Series,direct,,direct
880028,520818,003e9k8XA1wJ6glkhd,Click,2026-07-11 00:00:00,/case-studies,595,Webinar Series,email,lotus.com,
880029,587564,003W4dZ2v2dIiMtvbC,Download,2026-07-15 00:00:00,/,652,Always-On Search,bing,bharat.com,paid_search
880030,547871,,Page View,07/07/2026,/case-studies,681,,email,,email
880031,564208,003yDzRUt7uV8voYAZ,Download,2026-07-09 00:00:00,/case-studies,348,Webinar Series,direct,andaman.com,direct
880032,523576,003mk7P8B7O8Tk4M38,Click,05/07/2026,/pricing,458,,bing,andaman.com,paid_search
880033,526590,,Page View,2026-07-09 00:00:00,/blog/agentic-ai,538,Always-On Search,bing,,paid_search
880034,587415,003zGvsU55UC7Ep3Fv,Visit,14/07/2026,/blog/agentic-ai,48,Webinar Series,linkedin,meridian.com,social
880035,547321,00339p4BY9ZPVCzAqd,Visit,05/07/2026,/contact,91,,linkedin,summit.com,
880036,512857,,Click,2026-07-06 00:00:00,/pricing,748,Q3 Launch,linkedin,,social
880037,553007,003gF41vvjhfxjw0U8,Download,2026-07-13 00:00:00,/product,247,Q3 Launch,google,pacific.com,paid_search
880038,544052,,Visit,2026-07-11 00:00:00,/pricing,423,,email,,email
880039,576099,003snsSNc31BW1Ojii,Download,Jul 06 2026,/contact,540,Always-On Search,email,klang.com,email
880040,572081,,Visit,2026-07-14 00:00:00,/contact,72,Webinar Series,google,,paid_search
880041,517486,,Form Submission,2026-07-15 00:00:00,/blog/agentic-ai,192,,direct,,direct
880042,591943,,Form Submission,2026-07-12 00:00:00,/blog/agentic-ai,805,Webinar Series,email,,email
880043,516520,003e9k8XA1wJ6glkhd,Visit,2026-07-10 00:00:00,/demo,692,Q3 Launch,linkedin,orion.com,social
880044,587022,003vriF5P63luchp9A,Download,2026-07-11 00:00:00,/,119,Newsletter,google,lumina.com,paid_search
880045,582228,0032kprEnDkDmvntmO,Page View,2026-07-14 00:00:00,/product,523,Q3 Launch,bing,northgate.com,paid_search
880046,530680,003hj8MRa5GGQVGTED,Form Submission,2026-07-10 00:00:00,/contact,836,Webinar Series,bing,lumina.com,paid_search
880047,523642,,Form Submission,Jul 06 2026,/pricing,714,Q3 Launch,google,,paid_search
880048,521494,003dSq7BAsMzOeip2s,Visit,2026-07-09 00:00:00,/contact,880,Webinar Series,email,highland.com,email
880049,562271,0039dOnvbLvkGO5FvE,Click,2026-07-14 00:00:00,/blog/agentic-ai,744,Newsletter,linkedin,johor.com,social
880050,527917,003blM0OJ6mHvqPbbV,Visit,2026-07-10 00:00:00,/case-studies,667,,bing,kirana.com,paid_search
880051,560036,,Click,Jul 11 2026,/demo,298,Always-On Search,bing,,paid_search
880052,568949,003tT8Vs3kvf9rHxYC,Page View,2026-07-11 00:00:00,/pricing,608,Webinar Series,bing,lotus.com,paid_search
880053,592377,,Click,2026-07-11 00:00:00,/case-studies,101,Q3 Launch,email,,email
880054,591360,,Click,2026-07-12 00:00:00,/pricing,809,Always-On Search,google,,paid_search
880055,543527,,Download,2026-07-15 00:00:00,/,884,Always-On Search,linkedin,,social
880056,549071,,Form Submission,2026-07-09 00:00:00,/blog/agentic-ai,225,Q3 Launch,email,,email
880057,565486,,Download,2026-07-12 00:00:00,/product,336,Newsletter,bing,,
880058,566530,,Page View,Jul 11 2026,/,866,Newsletter,linkedin,,social
880059,560025,,Click,2026-07-10 00:00:00,/pricing,834,Q3 Launch,google,,paid_search
880060,561894,,Page View,2026-07-10 00:00:00,/blog/agentic-ai,736,Q3 Launch,email,,email
880061,500139,,Form Submission,Jul 08 2026,/,875,Webinar Series,bing,,paid_search
880062,502072,,Click,2026-07-07 00:00:00,/,206,Q3 Launch,bing,,
880063,564430,,Click,10/07/2026,/pricing,95,Always-On Search,email,,email
880064,543540,,Download,2026-07-15 00:00:00,/case-studies,70,Webinar Series,google,,paid_search
880065,574860,,Form Submission,2026-07-05 00:00:00,/blog/agentic-ai,29,Newsletter,direct,,direct
880066,587558,,Visit,2026-07-09 00:00:00,/pricing,862,Always-On Search,linkedin,,social
880067,574256,003RpNTfclJb0OUUe8,Click,2026-07-15 00:00:00,/pricing,636,Always-On Search,linkedin,everbright.com,social
880068,588522,,Visit,2026-07-12 00:00:00,/blog/agentic-ai,227,Q3 Launch,bing,,paid_search
880069,589542,,Page View,2026-07-05 00:00:00,/,568,Q3 Launch,linkedin,,social
880070,512240,003q3eY8n5JUh6hn5e,Download,2026-07-05 00:00:00,/case-studies,548,Webinar Series,linkedin,harbor.com,
880071,541271,003TTAe7YV378jlm2Z,Form Submission,2026-07-14 00:00:00,/contact,535,,email,lumina.com,email
880072,586652,,Download,2026-07-05 00:00:00,/product,802,Newsletter,bing,,paid_search
880073,582164,,Download,Jul 10 2026,/contact,496,Webinar Series,direct,,direct
880074,549811,,Click,2026-07-14 00:00:00,/blog/agentic-ai,811,Webinar Series,google,,paid_search
880075,506681,,Download,2026-07-14 00:00:00,/case-studies,858,Newsletter,linkedin,,social
880076,587450,,Form Submission,2026-07-14 00:00:00,/,257,Q3 Launch,google,,paid_search
880077,576393,,Page View,2026-07-06 00:00:00,/case-studies,669,Always-On Search,bing,,paid_search
880078,505133,,Download,2026-07-10 00:00:00,/demo,335,Q3 Launch,google,,paid_search
880079,546785,,Click,2026-07-13 00:00:00,/pricing,738,Webinar Series,direct,,direct
880080,508089,,Click,2026-07-11 00:00:00,/case-studies,174,Q3 Launch,email,,email
880081,516041,,Download,2026-07-05 00:00:00,/blog/agentic-ai,82,Webinar Series,email,,email
880082,505130,003Mt2xVzKFS6UVS1X,Download,2026-07-14 00:00:00,/contact,73,Always-On Search,google,andaman.com,paid_search
880083,594235,,Form Submission,2026-07-15 00:00:00,/,348,Q3 Launch,linkedin,,social
880084,520629,,Page View,2026-07-14 00:00:00,/pricing,752,,email,,email
880085,510624,,Form Submission,2026-07-06 00:00:00,/,522,Webinar Series,google,,paid_search
880086,526584,,Click,2026-07-13 00:00:00,/product,403,Webinar Series,direct,,direct
880087,563735,,Download,2026-07-12 00:00:00,/demo,821,,linkedin,,social
880088,595659,,Page View,2026-07-09 00:00:00,/pricing,655,Q3 Launch,linkedin,,social
880089,511374,003qJpbc3hrClcIFuO,Click,2026-07-13 00:00:00,/case-studies,431,,direct,highland.com,direct
880090,539557,,Click,06/07/2026,/contact,333,Newsletter,linkedin,,social
880091,567568,,Form Submission,05/07/2026,/demo,618,Webinar Series,direct,,direct
880092,531775,,Click,2026-07-13 00:00:00,/product,418,Webinar Series,google,,paid_search
880093,524885,,Click,2026-07-08 00:00:00,/pricing,794,Webinar Series,direct,,direct
880094,590330,003dSq7BAsMzOeip2s,Download,2026-07-11 00:00:00,/blog/agentic-ai,191,Webinar Series,bing,sabah.com,paid_search
880095,580937,003aWNXPWFPn6ZfzWQ,Visit,2026-07-10 00:00:00,/case-studies,378,Q3 Launch,direct,andaman.com,direct
880096,501795,,Form Submission,2026-07-10 00:00:00,/pricing,603,Webinar Series,linkedin,,social
880097,519041,,Download,2026-07-05 00:00:00,/,221,,google,,paid_search
880098,597199,003sNGixBTRY5NKMY9,Page View,2026-07-14 00:00:00,/contact,67,Newsletter,email,bharat.com,email
880099,593373,003leygdPNcc2Vk7xE,Click,2026-07-11 00:00:00,/contact,793,Always-On Search,email,lumina.com,email
880100,521426,,Download,2026-07-11 00:00:00,/case-studies,732,Q3 Launch,bing,,paid_search
880101,541190,,Download,2026-07-11 00:00:00,/,242,Always-On Search,google,,paid_search
880102,517792,,Visit,2026-07-08 00:00:00,/pricing,614,Q3 Launch,google,,paid_search
880103,534541,003vriF5P63luchp9A,Click,11/07/2026,/pricing,558,Newsletter,linkedin,mekong.com,social
880104,538857,,Download,2026-07-12 00:00:00,/,894,Newsletter,linkedin,,social
880105,540760,003vriF5P63luchp9A,Download,2026-07-15 00:00:00,/case-studies,691,,email,mekong.com,email
880106,531752,,Click,2026-07-06 00:00:00,/pricing,770,Newsletter,email,,email
880107,587848,0038lsG6yy7CXcdEmA,Page View,2026-07-05 00:00:00,/contact,730,Newsletter,linkedin,pacific.com,social
880108,575985,003vSm1cXIKdObrpEr,Form Submission,2026-07-11 00:00:00,/blog/agentic-ai,415,Webinar Series,direct,lumina.com,
880109,573829,,Page View,2026-07-07 00:00:00,/contact,895,Q3 Launch,email,,email
880110,583609,003Cz5BK79Vc8PxESN,Visit,2026-07-11 00:00:00,/pricing,391,Always-On Search,bing,lumina.com,paid_search
880111,516459,003r4UPWYyigjcqffH,Click,2026-07-09 00:00:00,/demo,523,Webinar Series,linkedin,highland.com,social
880112,545347,,Click,2026-07-06 00:00:00,/contact,407,Newsletter,bing,,paid_search
880113,584629,,Download,2026-07-11 00:00:00,/product,696,Webinar Series,google,,paid_search
880114,590678,,Form Submission,2026-07-08 00:00:00,/pricing,477,Q3 Launch,bing,,paid_search
880115,560483,,Page View,2026-07-10 00:00:00,/case-studies,482,Newsletter,email,,email
880116,502991,,Form Submission,Jul 15 2026,/,64,Always-On Search,google,,paid_search
880117,525449,003foruN2bI7irZa7S,Visit,2026-07-05 00:00:00,/pricing,175,Always-On Search,direct,northern.com,direct
880118,523902,0033mj4VEg9rs779TN,Page View,2026-07-07 00:00:00,/contact,183,Always-On Search,linkedin,nexus.com,social
880119,529652,003U9ntar9qHDO0O2g,Visit,2026-07-12 00:00:00,/,629,Q3 Launch,bing,zenith.com,paid_search
880120,527539,,Download,2026-07-07 00:00:00,/contact,780,,bing,,paid_search
880121,539839,003EHGL4D4Vo3txzQT,Download,2026-07-12 00:00:00,/product,749,Webinar Series,direct,andaman.com,direct
880122,556598,,Form Submission,2026-07-09 00:00:00,/case-studies,846,Webinar Series,bing,,paid_search
880123,552943,,Click,2026-07-06 00:00:00,/product,259,Webinar Series,direct,,direct
880124,515335,003VfCyg8Ht0V7Fj77,Visit,2026-07-14 00:00:00,/case-studies,525,Webinar Series,email,bharat.com,email
880125,573173,,Form Submission,2026-07-07 00:00:00,/demo,236,Always-On Search,linkedin,,social
880126,545127,003dSq7BAsMzOeip2s,Page View,2026-07-08 00:00:00,/,259,Q3 Launch,google,andaman.com,paid_search
880127,568741,00339p4BY9ZPVCzAqd,Page View,2026-07-09 00:00:00,/pricing,138,Newsletter,bing,nexus.com,paid_search
880128,523039,003oE5P6hX3idrPYJM,Visit,2026-07-07 00:00:00,/contact,832,Always-On Search,linkedin,sunrise.com,social
880129,561110,,Visit,2026-07-15 00:00:00,/case-studies,751,Always-On Search,linkedin,,social
880130,503069,,Click,2026-07-08 00:00:00,/pricing,432,Webinar Series,google,,paid_search
880131,555191,0038fTcys9JCPx7ZYQ,Download,2026-07-07 00:00:00,/pricing,303,Always-On Search,bing,orion.com,paid_search
880132,518105,,Download,2026-07-15 00:00:00,/pricing,528,Q3 Launch,bing,,paid_search
880133,535922,,Page View,2026-07-10 00:00:00,/pricing,234,Newsletter,direct,,direct
880134,549905,003Ua1adavpWKR9c2s,Download,2026-07-07 00:00:00,/contact,129,,email,sabah.com,email
880135,595882,,Visit,2026-07-08 00:00:00,/case-studies,735,Q3 Launch,direct,,direct
880136,556923,,Form Submission,2026-07-05 00:00:00,/pricing,168,Newsletter,direct,,direct
880137,551866,,Visit,2026-07-05 00:00:00,/blog/agentic-ai,552,Newsletter,direct,,direct
880138,564321,,Page View,2026-07-09 00:00:00,/blog/agentic-ai,501,Always-On Search,google,,paid_search
880139,519864,,Click,2026-07-06 00:00:00,/pricing,117,Always-On Search,linkedin,,
880140,535117,003QYoqD7N5s2QrSBT,Click,2026-07-13 00:00:00,/demo,487,Newsletter,linkedin,brightwave.com,social
880141,523694,,Download,2026-07-08 00:00:00,/contact,449,Always-On Search,direct,,direct
880142,526421,,Form Submission,2026-07-15 00:00:00,/,877,Q3 Launch,email,,email
880143,597655,,Download,2026-07-09 00:00:00,/pricing,309,Newsletter,bing,,paid_search
880144,536424,003GMPRbtpqAKZ82id,Visit,2026-07-12 00:00:00,/pricing,50,,email,highland.com,email
880145,543187,,Visit,2026-07-15 00:00:00,/case-studies,801,,direct,,direct
880146,505371,003BdQsRYOo6hA2DJ5,Click,2026-07-13 00:00:00,/pricing,387,Webinar Series,email,kirana.com,email
880147,588745,003NbW3VTYMpvA4aBs,Form Submission,2026-07-06 00:00:00,/,893,Q3 Launch,direct,andaman.com,direct
880148,501349,,Form Submission,2026-07-11 00:00:00,/demo,330,Always-On Search,google,,paid_search
880149,511144,,Click,2026-07-10 00:00:00,/pricing,367,,direct,,direct
880150,510628,,Visit,2026-07-15 00:00:00,/demo,418,Always-On Search,google,,paid_search
880151,512390,,Page View,15/07/2026,/demo,363,Newsletter,google,,
880152,527893,,Click,2026-07-08 00:00:00,/contact,649,,email,,email
880153,541018,003GkoblyoazHXA4yo,Visit,2026-07-09 00:00:00,/demo,19,,email,andaman.com,email
880154,526904,003rH1ESExnO8SEB8M,Click,2026-07-15 00:00:00,/case-studies,151,Webinar Series,direct,sunrise.com,direct
880155,538905,,Page View,2026-07-12 00:00:00,/demo,557,Webinar Series,linkedin,,social
880156,537004,,Click,15/07/2026,/case-studies,551,,email,,email
880157,541858,003tCTcFQnlCxeKzeF,Click,2026-07-07 00:00:00,/product,762,,email,orion.com,email
880158,576768,,Download,2026-07-09 00:00:00,/demo,386,,bing,,paid_search
880159,568950,,Download,2026-07-13 00:00:00,/product,889,Q3 Launch,google,,paid_search
880160,569700,003EHGL4D4Vo3txzQT,Click,08/07/2026,/,829,,google,andaman.com,paid_search
880161,505783,,Click,2026-07-15 00:00:00,/,645,Q3 Launch,linkedin,,social
880162,547492,003S1oCTn59LBikBrV,Page View,2026-07-06 00:00:00,/,6,Webinar Series,email,straits.com,email
880163,591232,,Visit,2026-07-10 00:00:00,/demo,416,Newsletter,direct,,
880164,502155,003GkoblyoazHXA4yo,Visit,2026-07-09 00:00:00,/pricing,824,Webinar Series,bing,everbright.com,paid_search
880165,563807,,Page View,13/07/2026,/pricing,394,,email,,email
880166,587704,,Form Submission,2026-07-12 00:00:00,/,736,Always-On Search,bing,,paid_search
880167,561020,,Download,2026-07-14 00:00:00,/,612,Q3 Launch,email,,email
880168,511147,,Visit,2026-07-11 00:00:00,/pricing,270,,bing,,paid_search
880169,586432,,Download,06/07/2026,/case-studies,273,Always-On Search,email,,email
880170,591117,003p7rC5YwVTNekUnZ,Click,2026-07-12 00:00:00,/demo,733,Q3 Launch,bing,brightwave.com,paid_search
880171,561333,,Download,2026-07-08 00:00:00,/,127,Newsletter,email,,email
880172,528087,,Form Submission,Jul 12 2026,/pricing,358,Webinar Series,linkedin,,social
880173,515385,003vSm1cXIKdObrpEr,Click,2026-07-05 00:00:00,/pricing,92,,google,zenith.com,
880174,568000,,Click,2026-07-14 00:00:00,/pricing,248,Q3 Launch,linkedin,,social
880175,520230,,Click,2026-07-12 00:00:00,/pricing,265,Newsletter,bing,,paid_search
880176,514157,,Download,2026-07-07 00:00:00,/pricing,214,Q3 Launch,google,,paid_search
880177,567541,,Visit,2026-07-07 00:00:00,/product,409,Webinar Series,linkedin,,social
880178,541095,,Page View,2026-07-05 00:00:00,/,365,Webinar Series,email,,email
880179,565915,,Visit,2026-07-07 00:00:00,/product,800,,direct,,direct
880180,529685,,Visit,Jul 06 2026,/,679,Newsletter,email,,email
880181,557811,,Form Submission,2026-07-15 00:00:00,/pricing,29,Always-On Search,email,,email
880182,588980,,Visit,2026-07-10 00:00:00,/pricing,763,Q3 Launch,bing,,paid_search
880183,524550,,Form Submission,2026-07-12 00:00:00,/,753,,bing,,paid_search
880184,513115,0036IpmfT3noEy0NAU,Form Submission,2026-07-15 00:00:00,/,315,,linkedin,zenith.com,social
880185,540881,,Page View,Jul 13 2026,/pricing,182,Q3 Launch,linkedin,,social
880186,579552,003jOff2KR4ea8nKPy,Download,2026-07-09 00:00:00,/demo,320,Q3 Launch,bing,kirana.com,paid_search
880187,576309,,Click,2026-07-10 00:00:00,/demo,715,Webinar Series,direct,,direct
880188,528188,,Form Submission,Jul 07 2026,/pricing,677,,linkedin,,
880189,520908,003R2WaD3vKzeg8dua,Download,2026-07-07 00:00:00,/product,29,Webinar Series,linkedin,zenith.com,
880190,529379,,Form Submission,2026-07-05 00:00:00,/pricing,31,Q3 Launch,email,,email
880191,580794,003rSxXve61Lq38YFh,Visit,2026-07-07 00:00:00,/blog/agentic-ai,67,Q3 Launch,bing,lumina.com,paid_search
880192,514741,00328hDV9pZCHmbWv1,Form Submission,2026-07-07 00:00:00,/demo,793,Webinar Series,linkedin,kirana.com,social
880193,572733,003o1KW3FT7J1Wb6gG,Page View,10/07/2026,/pricing,270,Q3 Launch,bing,bharat.com,paid_search
880194,549123,003gF41vvjhfxjw0U8,Visit,2026-07-15 00:00:00,/contact,598,Always-On Search,direct,zenith.com,direct
880195,581977,,Form Submission,Jul 10 2026,/,336,Webinar Series,bing,,paid_search
880196,560107,,Download,2026-07-11 00:00:00,/,653,Q3 Launch,email,,email
880197,592969,,Download,2026-07-09 00:00:00,/pricing,158,Q3 Launch,bing,,paid_search
880198,566730,,Visit,2026-07-10 00:00:00,/contact,31,Newsletter,direct,,direct
880199,557711,003EHGL4D4Vo3txzQT,Download,2026-07-06 00:00:00,/blog/agentic-ai,739,Q3 Launch,google,lotus.com,paid_search
880200,517448,,Click,2026-07-05 00:00:00,/pricing,466,Always-On Search,bing,,paid_search
880201,553255,003HFasaAd1KVpFGWD,Page View,2026-07-05 00:00:00,/pricing,590,Webinar Series,direct,mekong.com,direct
880202,583717,003yOl7wn3BUy2uQA4,Form Submission,2026-07-14 00:00:00,/demo,367,Webinar Series,google,andaman.com,paid_search
880203,592115,003rH1ESExnO8SEB8M,Download,2026-07-08 00:00:00,/pricing,475,Q3 Launch,email,summit.com,email
880204,512492,,Click,2026-07-14 00:00:00,/product,285,,direct,,direct
880205,510178,003vriF5P63luchp9A,Click,2026-07-06 00:00:00,/blog/agentic-ai,866,Webinar Series,google,lumina.com,paid_search
880206,528163,,Visit,2026-07-07 00:00:00,/pricing,210,Always-On Search,email,,email
880207,514447,,Click,2026-07-13 00:00:00,/,736,,email,,email
880208,559507,003j40yPUgr3U4pVAa,Download,2026-07-05 00:00:00,/pricing,357,,email,johor.com,email
880209,507255,003Mt2xVzKFS6UVS1X,Click,2026-07-11 00:00:00,/blog/agentic-ai,118,Always-On Search,email,zenith.com,email
880210,548333,003H691WGD0xx81PYU,Visit,2026-07-07 00:00:00,/contact,516,Always-On Search,direct,highland.com,direct
880211,534607,,Visit,Jul 05 2026,/,304,Webinar Series,linkedin,,social
880212,565590,,Page View,2026-07-09 00:00:00,/,393,,google,,paid_search
880213,565718,,Download,2026-07-09 00:00:00,/contact,633,Q3 Launch,google,,paid_search
880214,503465,,Download,2026-07-12 00:00:00,/product,140,Q3 Launch,linkedin,,social
880215,515871,003qJpbc3hrClcIFuO,Form Submission,2026-07-05 00:00:00,/pricing,481,,linkedin,brightwave.com,social
880216,531009,003HYUk5qeCLEy84w3,Form Submission,2026-07-11 00:00:00,/contact,104,Webinar Series,linkedin,sunrise.com,social
880217,519597,,Visit,2026-07-13 00:00:00,/product,806,Webinar Series,email,,email
880218,586237,,Page View,2026-07-15 00:00:00,/contact,858,Webinar Series,direct,,direct
880219,533405,003rH1ESExnO8SEB8M,Visit,11/07/2026,/pricing,844,Webinar Series,direct,straits.com,direct
880220,676818,003tQLxEJHwBVJvwSD,Visit,2026-07-20 00:00:00,/pricing,502,Q3 Launch,direct,penang-semi.com,direct
880221,676818,003tQLxEJHwBVJvwSD,Form Submission,2026-07-21 00:00:00,/demo,677,Q3 Launch,linkedin,penang-semi.com,social
880222,672036,003uhVI8WSlmnVErUL,Visit,2026-07-21T00:00:00+08:00,/pricing,545,Q3 Launch,direct,penang-semi.com,direct
880223,672036,003uhVI8WSlmnVErUL,Form Submission,Jul 22 2026,/demo,478,Q3 Launch,bing,penang-semi.com,paid_search
880224,629661,003oxltaTIircdJsS8,Visit,2026-07-22,/pricing,710,Q3 Launch,google,penang-semi.com,paid_search
880225,629661,003oxltaTIircdJsS8,Form Submission,2026-07-23T00:00:00+08:00,/demo,776,Q3 Launch,email,penang-semi.com,email
880226,600609,003KsEECvl9dq83Eh0,Visit,2026-07-23,/pricing,533,Q3 Launch,google,penang-semi.com,paid_search
880227,600609,003KsEECvl9dq83Eh0,Form Submission,2026-07-24T00:00:00+08:00,/demo,559,Q3 Launch,linkedin,penang-semi.com,social
880228,609487,,Visit,2026-07-22 00:00:00,/pricing,757,Q3 Launch,bing,penang-semi.com,paid_search
880229,667277,,Visit,2026-07-26T00:00:00+08:00,/pricing,631,Q3 Launch,direct,penang-semi.com,direct
880230,632786,,Visit,2026-07-23T00:00:00+08:00,/pricing,855,Q3 Launch,email,penang-semi.com,email
880231,663390,,Visit,2026-07-26,/pricing,624,Q3 Launch,bing,penang-semi.com,paid_search
880232,689337,,Visit,2026-07-26 00:00:00,/pricing,735,Q3 Launch,direct,penang-semi.com,direct
880233,663172,,Page View,Jul 20 2026,/pricing,810,Q3 Launch,linkedin,munich-auto.de,social
880234,608854,,Page View,2026-07-22T00:00:00+08:00,/case-studies,345,Webinar Series,bing,rivalpardot.com,paid_search
880235,670208,,Visit,Jul 23 2026,/case-studies,389,Webinar Series,bing,competitor-crm.io,paid_search
880236,609965,,Download,Jul 24 2026,/pricing,607,Always-On Search,bing,competitor-crm.io,paid_search
880237,623957,,Download,25/07/2026,/case-studies,314,Newsletter,google,competitor-crm.io,paid_search
880238,634787,,Visit,2026-07-21 00:00:00,/pricing,327,Webinar Series,direct,rivalpardot.com,direct
880239,615712,,Visit,2026-07-20,/case-studies,624,,linkedin,salesloft-clone.com,social
880240,580937,003aWNXPWFPn6ZfzWQ,Download,2026-07-22T00:00:00+08:00,/blog/agentic-ai,372,Always-On Search,bing,andaman.com,paid_search
880241,576768,,Click,2026-07-26T00:00:00+08:00,/pricing,451,Q3 Launch,bing,,paid_search
880242,576768,,Page View,Jul 26 2026,/contact,619,,google,,paid_search
880243,508089,,Click,2026-07-20,/blog/agentic-ai,552,Newsletter,email,,email
880244,508089,,Form Submission,Jul 25 2026,/product,504,Webinar Series,google,,paid_search
880245,545127,003dSq7BAsMzOeip2s,Form Submission,Jul 21 2026,/contact,444,Q3 Launch,linkedin,andaman.com,social
880246,545127,003dSq7BAsMzOeip2s,Page View,2026-07-24,/product,354,Always-On Search,bing,andaman.com,paid_search
880247,588745,003NbW3VTYMpvA4aBs,Download,2026-07-23,/,401,,direct,andaman.com,direct
880248,588745,003NbW3VTYMpvA4aBs,Page View,Jul 25 2026,/demo,53,Webinar Series,google,andaman.com,paid_search
880249,512240,003q3eY8n5JUh6hn5e,Page View,2026-07-20,/demo,436,Q3 Launch,linkedin,harbor.com,social
880250,573173,,Visit,Jul 20 2026,/,436,,linkedin,,social
880251,530680,003hj8MRa5GGQVGTED,Visit,Jul 21 2026,/blog/agentic-ai,429,Always-On Search,google,lumina.com,paid_search
880252,581977,,Page View,Jul 20 2026,/demo,569,Webinar Series,linkedin,,social
880253,581977,,Click,2026-07-22T00:00:00+08:00,/,517,Newsletter,direct,,direct
880254,503069,,Page View,2026-07-24,/blog/agentic-ai,582,Webinar Series,direct,,direct
880255,503069,,Form Submission,2026-07-22,/case-studies,566,,bing,,paid_search
880256,541271,003TTAe7YV378jlm2Z,Visit,22/07/2026,/case-studies,345,Always-On Search,email,lumina.com,email
880257,541190,,Visit,2026-07-22,/pricing,565,Webinar Series,bing,,paid_search
880258,541190,,Form Submission,2026-07-22 00:00:00,/pricing,734,Newsletter,email,,email
880259,549071,,Click,22/07/2026,/contact,266,Q3 Launch,direct,,direct
880260,549071,,Download,2026-07-21,/contact,477,Newsletter,google,,paid_search
880261,514741,00328hDV9pZCHmbWv1,Page View,2026-07-24T00:00:00+08:00,/product,111,Newsletter,google,kirana.com,paid_search
880262,514741,00328hDV9pZCHmbWv1,Click,23/07/2026,/product,694,,bing,kirana.com,paid_search
880263,515871,003qJpbc3hrClcIFuO,Page View,2026-07-24,/demo,326,Q3 Launch,email,brightwave.com,email
880264,523576,003mk7P8B7O8Tk4M38,Form Submission,2026-07-21 00:00:00,/case-studies,222,Always-On Search,linkedin,andaman.com,social
880265,523576,003mk7P8B7O8Tk4M38,Form Submission,22/07/2026,/pricing,220,Q3 Launch,bing,andaman.com,paid_search
880266,535684,,Visit,23/07/2026,/demo,122,Webinar Series,linkedin,,social
880267,535684,,Click,2026-07-23 00:00:00,/case-studies,349,Newsletter,bing,,paid_search
880268,549905,003Ua1adavpWKR9c2s,Visit,2026-07-22,/,798,Webinar Series,linkedin,sabah.com,social
880269,549905,003Ua1adavpWKR9c2s,Visit,Jul 26 2026,/contact,511,Webinar Series,google,sabah.com,paid_search
880270,575985,003vSm1cXIKdObrpEr,Visit,2026-07-26,/pricing,816,Webinar Series,email,lumina.com,email
